"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"NLIC","2026-02-03","770","775","763","763","-0.03 %","26,908.00","-"
"NLIC","2026-02-02","754.2","780","754.2","763.2","-0.81 %","44,965.00","-"
"NLIC","2026-02-01","791","791","768","769.4","-0.97 %","34,728.00","-"
"NLIC","2026-01-29","775","785","772.6","776.9","-0.40 %","41,258.00","-"
"NLIC","2026-01-28","780.1","788.9","772.1","780","0.00 %","32,861.00","-"
"NLIC","2026-01-27","785","800.7","776.6","780","-2.01 %","66,067.00","-"
"NLIC","2026-01-26","806","809","792","796","-0.75 %","67,178.00","-"
"NLIC","2026-01-25","785","804.9","785","802","1.52 %","82,388.00","-"
"NLIC","2026-01-22","788","795","780","790","0.14 %","40,242.00","-"
"NLIC","2026-01-21","790","797","785","788.9","-0.14 %","38,520.00","-"
"NLIC","2026-01-20","790","800","782","790","1.28 %","45,351.00","-"
"NLIC","2026-01-18","776.1","782","773.1","780","1.43 %","27,049.00","-"
"NLIC","2026-01-14","778","778.4","762.5","769","-0.65 %","28,008.00","-"
"NLIC","2026-01-13","778.7","784","772","774","-0.64 %","15,684.00","-"
"NLIC","2026-01-12","770.1","780","770","779","1.17 %","33,197.00","-"
"NLIC","2026-01-08","767","773","756.7","770","0.40 %","35,706.00","-"
"NLIC","2026-01-07","767","776.5","765.1","766.9","0.10 %","22,720.00","-"
"NLIC","2026-01-06","767","779.9","765","766.1","-0.12 %","36,711.00","-"
"NLIC","2026-01-05","774.1","774.1","761","767","1.05 %","44,186.00","-"
"NLIC","2026-01-04","779","779","759","759","-1.56 %","39,526.00","-"
"NLIC","2026-01-01","775","788","770","771","-0.50 %","44,825.00","-"
"NLIC","2025-12-31","775","778.8","768","774.9","1.16 %","37,759.00","-"
"NLIC","2025-12-29","775","775","760.4","766","-0.27 %","40,385.00","-"
"NLIC","2025-12-28","764.9","770","758.5","768.1","2.35 %","65,832.00","-"
"NLIC","2025-12-24","752.1","761","750.3","750.5","-0.20 %","35,825.00","-"
"NLIC","2025-12-23","750.3","770","750.3","752","-1.16 %","34,545.00","-"
"NLIC","2025-12-22","763","778","760.5","760.8","-2.28 %","63,866.00","-"
"NLIC","2025-12-21","785.71428571429","787.61904761905","776.19047619048","778.57142857143","-0.55 %","-","-"
"NLIC","2025-12-18","800","800","781.90476190476","782.85714285714","-1.56 %","-","-"
"NLIC","2025-12-17","790.47619047619","798.95238095238","789.52380952381","795.2380952381","1.03 %","-","-"
"NLIC","2025-12-16","779.04761904762","789.42857142857","778.57142857143","787.14285714286","1.29 %","-","-"
"NLIC","2025-12-15","777.14285714286","780","773.33333333333","777.14285714286","0.00 %","-","-"
"NLIC","2025-12-14","780.95238095238","788.57142857143","776.28571428571","777.14285714286","-0.49 %","-","-"
"NLIC","2025-12-11","791.2380952381","792.38095238095","778.09523809524","780.95238095238","-0.34 %","-","-"
"NLIC","2025-12-10","786.66666666667","797.14285714286","780","783.61904761905","-0.63 %","-","-"
"NLIC","2025-12-09","798.47619047619","798.47619047619","768.57142857143","788.57142857143","0.73 %","-","-"
"NLIC","2025-12-08","794.57142857143","794.57142857143","772.38095238095","782.85714285714","0.49 %","-","-"
"NLIC","2025-12-07","783.80952380952","798.09523809524","776.19047619048","779.04761904762","-1.33 %","-","-"
"NLIC","2025-12-03","801.90476190476","804.7619047619","787.61904761905","789.52380952381","-1.22 %","-","-"
"NLIC","2025-12-02","800.95238095238","808.57142857143","798.19047619048","799.2380952381","-0.10 %","-","-"
"NLIC","2025-12-01","785.71428571429","813.33333333333","785.71428571429","800","-0.13 %","-","-"
"NLIC","2025-11-30","809.61904761905","828.57142857143","800.95238095238","801.04761904762","-1.01 %","-","-"
"NLIC","2025-11-27","802.85714285714","817.04761904762","801.04761904762","809.2380952381","0.41 %","-","-"
"NLIC","2025-11-26","829.52380952381","829.52380952381","802.85714285714","805.90476190476","-0.91 %","-","-"
"NLIC","2025-11-25","820.95238095238","829.52380952381","805.71428571429","813.33333333333","-0.70 %","-","-"
"NLIC","2025-11-24","795.2380952381","830.47619047619","795.2380952381","819.04761904762","3.61 %","-","-"
"NLIC","2025-11-23","768.7619047619","791.80952380952","768.7619047619","790.47619047619","3.23 %","-","-"
"NLIC","2025-11-20","760.95238095238","767.61904761905","755.2380952381","765.71428571429","0.63 %","-","-"
"NLIC","2025-11-19","779.90476190476","779.90476190476","751.42857142857","760.95238095238","-1.35 %","-","-"
"NLIC","2025-11-18","771.42857142857","780","767.33333333333","771.33333333333","0.67 %","-","-"
"NLIC","2025-11-17","760","771.42857142857","759.04761904762","766.19047619048","0.83 %","-","-"
"NLIC","2025-11-16","776.19047619048","776.19047619048","754.28571428571","759.90476190476","-0.39 %","-","-"
"NLIC","2025-11-13","744.95238095238","772.28571428571","744.95238095238","762.85714285714","0.38 %","-","-"
"NLIC","2025-11-12","773.33333333333","775.14285714286","756","760","-1.48 %","-","-"
"NLIC","2025-11-11","780","780","765.71428571429","771.42857142857","0.67 %","-","-"
"NLIC","2025-11-10","780.95238095238","780.95238095238","764.7619047619","766.28571428571","-0.67 %","-","-"
"NLIC","2025-11-09","783.80952380952","783.80952380952","766.66666666667","771.42857142857","-1.35 %","-","-"
"NLIC","2025-11-06","800","800","771.42857142857","782","-0.95 %","-","-"
"NLIC","2025-11-05","768.57142857143","791.42857142857","763.80952380952","789.52380952381","2.47 %","-","-"
"NLIC","2025-11-04","799.80952380952","799.80952380952","769.52380952381","770.47619047619","-1.83 %","-","-"
"NLIC","2025-11-03","794.28571428571","805.71428571429","780","784.85714285714","-1.32 %","-","-"
"NLIC","2025-11-02","760","800","752.57142857143","795.33333333333","6.11 %","-","-"
"NLIC","2025-10-30","747.52380952381","752.38095238095","733.42857142857","749.52380952381","1.29 %","-","-"
"NLIC","2025-10-29","745.71428571429","757.14285714286","738.09523809524","740","-0.38 %","-","-"
"NLIC","2025-10-28","723.80952380952","748.57142857143","723.80952380952","742.85714285714","3.72 %","-","-"
"NLIC","2025-10-26","713.33333333333","717.14285714286","706.28571428571","716.19047619048","0.27 %","-","-"
"NLIC","2025-10-19","711.42857142857","719.04761904762","698.09523809524","714.28571428571","0.70 %","-","-"
"NLIC","2025-10-16","714.28571428571","723.80952380952","709.33333333333","709.33333333333","-0.44 %","-","-"
"NLIC","2025-10-15","712.38095238095","719.04761904762","706.95238095238","712.47619047619","0.01 %","-","-"
"NLIC","2025-10-14","723.80952380952","728.57142857143","712.38095238095","712.38095238095","-1.71 %","-","-"
