"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"NABIL","2025-10-28","505.3","510","505","509","0.73 %","49,884.00","-"
"NABIL","2025-10-26","508","508","503","505.3","-0.51 %","32,708.00","-"
"NABIL","2025-10-19","512","512","506","507.9","-0.22 %","38,379.00","-"
"NABIL","2025-10-16","517.9","517.9","506","509","0.06 %","37,341.00","-"
"NABIL","2025-10-15","518","518","507","508.7","-0.25 %","38,107.00","-"
"NABIL","2025-10-14","518.5","518.5","510","510","0.00 %","31,168.00","-"
"NABIL","2025-10-13","519.9","520","506","510","-0.10 %","53,374.00","-"
"NABIL","2025-10-12","530.2","530.2","505","510.5","-1.81 %","65,413.00","-"
"NABIL","2025-10-09","523.9","544","514","519.9","1.15 %","43,284.00","-"
"NABIL","2025-10-08","523","523","505","514","-1.34 %","78,401.00","-"
"NABIL","2025-10-07","530","530","512.6","521","-1.14 %","48,977.00","-"
"NABIL","2025-09-28","524","528","521","527","1.04 %","30,997.00","-"
"NABIL","2025-09-25","523","524.9","516","521.6","-0.08 %","28,626.00","-"
"NABIL","2025-09-24","525","528","515","522","-0.29 %","59,254.00","-"
"NABIL","2025-09-23","516.9","525","513","523.5","2.61 %","55,373.00","-"
"NABIL","2025-09-21","474","514","474","510.18","5.63 %","122,490.00","-"
"NABIL","2025-09-18","502.9","502.9","471","483","-5.88 %","16,660.00","-"
"NABIL","2025-09-08","515","515","510","513.15","-0.33 %","42,962.00","-"
"NABIL","2025-09-07","507.3","517.8","507.3","514.87","-0.52 %","25,831.00","-"
"NABIL","2025-09-04","528","528","515","517.58","-0.44 %","40,199.00","-"
"NABIL","2025-09-03","520","529","519","519.88","-0.74 %","34,096.00","-"
"NABIL","2025-09-02","538.2","538.2","523.3","523.75","-0.74 %","34,983.00","-"
"NABIL","2025-09-01","531.2","531.2","518","527.66","1.31 %","42,334.00","-"
"NABIL","2025-08-31","535","536.9","520","520.84","-1.52 %","66,938.00","-"
"NABIL","2025-08-28","532","538.9","527","528.86","-0.94 %","83,641.00","-"
"NABIL","2025-08-27","539.9","539.9","526.5","533.87","0.85 %","64,476.00","-"
"NABIL","2025-08-26","514.5","533","514.5","529.35","1.30 %","67,932.00","-"
"NABIL","2025-08-25","512","525","509","522.58","1.76 %","81,167.00","-"
"NABIL","2025-08-24","520","520","513","513.56","-0.88 %","72,676.00","-"
"NABIL","2025-08-21","524.9","524.9","517.3","518.14","-0.13 %","38,427.00","-"
"NABIL","2025-08-20","518","521","517","518.81","0.00 %","43,704.00","-"
"NABIL","2025-08-19","525","525","518","518.81","-0.03 %","44,459.00","-"
"NABIL","2025-08-18","520","524","517","518.95","-0.43 %","48,703.00","-"
"NABIL","2025-08-17","525","528","519","521.21","-0.50 %","63,880.00","-"
"NABIL","2025-08-14","524.1","526.5","523.1","523.82","0.04 %","47,263.00","-"
"NABIL","2025-08-13","523","524.9","522","523.63","-0.23 %","50,014.00","-"
"NABIL","2025-08-12","530","534.5","524.2","524.86","-0.27 %","79,172.00","-"
"NABIL","2025-08-11","533","534","525","526.3","-0.20 %","69,423.00","-"
"NABIL","2025-08-07","534.9","534.9","525.6","527.36","0.27 %","63,502.00","-"
"NABIL","2025-08-06","530","530","523","525.93","-0.34 %","48,952.00","-"
"NABIL","2025-08-05","517.5","540","517.5","527.73","-0.05 %","91,553.00","-"
"NABIL","2025-08-04","524.4","532","519","527.97","0.68 %","103,313.00","-"
"NABIL","2025-08-03","536","538","522.5","524.4","-2.25 %","166,184.00","-"
"NABIL","2025-07-31","540.1","548.2","535","536.48","-1.60 %","110,940.00","-"
"NABIL","2025-07-30","550.7","555","545","545.18","-0.61 %","115,662.00","-"
"NABIL","2025-07-29","547","552","545","548.55","1.50 %","142,244.00","-"
"NABIL","2025-07-28","545.5","547","536","540.43","-1.35 %","183,214.00","-"
"NABIL","2025-07-27","550","554","545.1","547.84","-0.04 %","147,629.00","-"
"NABIL","2025-07-24","552","556","547.1","548.08","-0.60 %","95,913.00","-"
"NABIL","2025-07-23","543.6","562","543.6","551.41","-0.58 %","132,486.00","-"
"NABIL","2025-07-22","545.2","555.5","545.2","554.63","1.73 %","172,337.00","-"
"NABIL","2025-07-21","550","554","540","545.21","-0.83 %","126,936.00","-"
"NABIL","2025-07-20","550","560","548","549.77","0.20 %","233,008.00","-"
"NABIL","2025-07-17","545","554","542.2","548.66","1.35 %","192,877.00","-"
"NABIL","2025-07-16","530","543.6","530","541.37","2.18 %","260,180.00","-"
"NABIL","2025-07-15","524","530","515","529.8","1.45 %","136,308.00","-"
"NABIL","2025-07-14","538","538","521.1","522.22","-2.53 %","165,976.00","-"
"NABIL","2025-07-13","521.3","537.5","521.3","535.77","4.81 %","270,279.00","-"
"NABIL","2025-07-10","503","522","500","511.17","2.44 %","264,663.00","-"
"NABIL","2025-07-09","500","500","495.2","499.01","0.72 %","42,721.00","-"
"NABIL","2025-07-08","500","500","493","495.46","-0.32 %","33,006.00","-"
"NABIL","2025-07-07","500","503","496.3","497.07","-0.76 %","36,175.00","-"
