"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"NTC","2026-02-01","870","870","853","856","-0.29 %","9,080.00","-"
"NTC","2026-01-29","861","870","857.4","858.5","-0.17 %","11,566.00","-"
"NTC","2026-01-28","862","865","858.3","860","-0.35 %","15,099.00","-"
"NTC","2026-01-27","875","875","861","863","-0.69 %","8,502.00","-"
"NTC","2026-01-26","878","879.8","860","869","0.03 %","18,503.00","-"
"NTC","2026-01-25","860","874","860","868.7","1.01 %","37,318.00","-"
"NTC","2026-01-22","862","867.7","856.1","860","-0.34 %","12,001.00","-"
"NTC","2026-01-21","855.1","866","855.1","862.9","0.35 %","8,255.00","-"
"NTC","2026-01-20","863","867.9","852","859.9","0.93 %","14,049.00","-"
"NTC","2026-01-18","858","858","845","852","0.59 %","11,299.00","-"
"NTC","2026-01-14","846","850","845.1","847","0.12 %","10,928.00","-"
"NTC","2026-01-13","853","858","845.5","846","-0.63 %","10,718.00","-"
"NTC","2026-01-12","857","863","850","851.4","-0.77 %","16,784.00","-"
"NTC","2026-01-08","858","860","850","858","0.00 %","9,482.00","-"
"NTC","2026-01-07","860","864.5","856.6","858","-0.12 %","6,012.00","-"
"NTC","2026-01-06","860","864.9","856","859","0.17 %","14,097.00","-"
"NTC","2026-01-05","860","864","856","857.5","-1.21 %","12,136.00","-"
"NTC","2026-01-04","895","895","848.5","868","-4.09 %","23,309.00","-"
"NTC","2026-01-01","905","909","902.2","905","0.00 %","74,592.00","-"
"NTC","2025-12-31","909","909","900","905","0.02 %","40,304.00","-"
"NTC","2025-12-29","908","911","898","904.8","-0.13 %","38,244.00","-"
"NTC","2025-12-28","909.9","909.9","896","906","1.18 %","38,661.00","-"
"NTC","2025-12-24","916.9","916.9","890","895.4","-0.40 %","39,968.00","-"
"NTC","2025-12-23","887","900","875.2","899","2.74 %","45,919.00","-"
"NTC","2025-12-22","875.1","880","875","875","-0.56 %","9,374.00","-"
"NTC","2025-12-21","875","882","873","879.9","0.14 %","10,140.00","-"
"NTC","2025-12-18","889.8","889.8","877.2","878.7","-0.94 %","11,553.00","-"
"NTC","2025-12-17","880.1","892","880.1","887","0.23 %","14,222.00","-"
"NTC","2025-12-16","874","885","872.1","885","1.26 %","19,850.00","-"
"NTC","2025-12-15","872.5","876","872.5","874","0.17 %","12,155.00","-"
"NTC","2025-12-14","877","877","865","872.5","0.29 %","18,544.00","-"
"NTC","2025-12-11","868.9","870","865","870","0.12 %","8,059.00","-"
"NTC","2025-12-10","872","872","867","869","0.00 %","6,652.00","-"
"NTC","2025-12-09","871","874.9","864","869","-0.23 %","9,086.00","-"
"NTC","2025-12-08","879.9","879.9","868","871","-0.29 %","11,256.00","-"
"NTC","2025-12-07","860","880","859","873.5","1.33 %","23,190.00","-"
"NTC","2025-12-03","860","875","860","862","0.23 %","8,331.00","-"
"NTC","2025-12-02","865","865","858.1","860","-0.20 %","7,090.00","-"
"NTC","2025-12-01","861.5","867","856","861.7","0.02 %","6,734.00","-"
"NTC","2025-11-30","860","877","856","861.5","-0.52 %","14,037.00","-"
"NTC","2025-11-27","869","871.9","862","866","0.10 %","10,215.00","-"
"NTC","2025-11-26","860","870","860","865.1","0.05 %","7,244.00","-"
"NTC","2025-11-25","874","874","858","864.7","0.31 %","11,152.00","-"
"NTC","2025-11-24","865","865","855","862","0.40 %","9,084.00","-"
"NTC","2025-11-23","859.9","865","851.1","858.6","1.00 %","9,496.00","-"
"NTC","2025-11-20","853","859","847.3","850.1","-0.26 %","4,835.00","-"
"NTC","2025-11-19","858","859.9","850","852.3","-0.66 %","4,190.00","-"
"NTC","2025-11-18","860","869","850","858","0.23 %","7,307.00","-"
"NTC","2025-11-17","855","858","845","856","0.12 %","6,117.00","-"
"NTC","2025-11-16","872.3","872.3","851","855","-0.12 %","3,867.00","-"
"NTC","2025-11-13","852.6","862.8","852.6","856","0.12 %","5,299.00","-"
"NTC","2025-11-12","875","875","852.6","855","-1.50 %","9,857.00","-"
"NTC","2025-11-11","887.4","887.4","863","868","-0.23 %","4,671.00","-"
"NTC","2025-11-10","861.5","875","861.5","870","0.00 %","6,316.00","-"
"NTC","2025-11-09","874","886","865.4","870","-0.34 %","15,841.00","-"
"NTC","2025-11-06","862","880","862","873","-0.67 %","14,216.00","-"
"NTC","2025-11-05","876.9","881","871","878.9","0.23 %","20,336.00","-"
"NTC","2025-11-04","875","885","875","876.9","-0.35 %","19,494.00","-"
"NTC","2025-11-03","876","881.8","864.1","880","0.34 %","24,545.00","-"
"NTC","2025-11-02","865","881.3","860.1","877","1.49 %","14,615.00","-"
"NTC","2025-10-30","870","870","854","864.1","0.95 %","15,926.00","-"
"NTC","2025-10-29","859","866","855","856","-0.23 %","12,479.00","-"
"NTC","2025-10-28","853.7","865","847.4","858","1.53 %","14,118.00","-"
"NTC","2025-10-26","855","855","845","845.1","-0.22 %","14,977.00","-"
"NTC","2025-10-19","847","850","840","847","0.14 %","12,631.00","-"
"NTC","2025-10-16","854.9","854.9","838","845.8","0.21 %","12,178.00","-"
"NTC","2025-10-15","850","855","842.1","844","-0.59 %","20,636.00","-"
"NTC","2025-10-14","858","858","840","849","0.58 %","8,580.00","-"
"NTC","2025-10-13","857","857","831","844.1","0.37 %","7,681.00","-"
"NTC","2025-10-12","845","850","836","841","-0.74 %","13,058.00","-"
"NTC","2025-10-09","853","872.6","839","847.3","0.99 %","13,686.00","-"
"NTC","2025-10-08","848","849","833","839","-0.83 %","13,672.00","-"
"NTC","2025-10-07","852","852","843","846","-0.70 %","11,285.00","-"
"NTC","2025-09-28","852","855","848","852","0.45 %","6,444.00","-"
"NTC","2025-09-25","845.1","856.9","840.5","848.2","-0.09 %","8,106.00","-"
"NTC","2025-09-24","865","865","848","849","-0.59 %","11,110.00","-"
"NTC","2025-09-23","845","855.1","840","854","1.84 %","17,191.00","-"
"NTC","2025-09-21","805","851.6","800","838.6","3.79 %","39,385.00","-"
"NTC","2025-09-18","809.1","820","762.5","808","-2.12 %","3,839.00","-"
"NTC","2025-09-08","825","835","825","825.52","0.09 %","20,280.00","-"
"NTC","2025-09-07","839","840","824","824.74","-1.76 %","69,008.00","-"
"NTC","2025-09-04","845","858","835","839.51","-0.73 %","31,682.00","-"
"NTC","2025-09-03","850","850","844.2","845.66","0.18 %","7,306.00","-"
"NTC","2025-09-02","859.8","859.8","843.1","844.1","0.13 %","23,696.00","-"
"NTC","2025-09-01","865.2","865.2","840","843.03","-0.62 %","29,413.00","-"
"NTC","2025-08-31","851.5","852","845.1","848.27","-0.12 %","23,673.00","-"
"NTC","2025-08-28","868.8","868.8","848.7","849.32","-0.32 %","38,036.00","-"
"NTC","2025-08-27","867.3","867.3","849.1","852.06","0.20 %","47,731.00","-"
"NTC","2025-08-26","866.6","866.6","849.9","850.34","-0.07 %","17,137.00","-"
"NTC","2025-08-25","849","859","849","850.91","-0.14 %","20,148.00","-"
"NTC","2025-08-24","850","863","848","852.12","0.20 %","14,313.00","-"
"NTC","2025-08-21","864.9","864.9","850","850.4","-0.28 %","22,531.00","-"
"NTC","2025-08-20","853","860","850.1","852.79","-0.00 %","12,368.00","-"
"NTC","2025-08-19","865","885","850","852.81","0.15 %","15,746.00","-"
"NTC","2025-08-18","849","855","849","851.52","0.22 %","15,830.00","-"
"NTC","2025-08-17","858.6","870","848.1","849.61","-3.02 %","62,678.00","-"
"NTC","2025-08-14","882","882","873","876.08","0.17 %","9,640.00","-"
"NTC","2025-08-13","873.1","882","865.3","874.58","0.18 %","12,725.00","-"
"NTC","2025-08-12","871","885","871","872.99","-0.50 %","11,154.00","-"
"NTC","2025-08-11","885.3","895","875","877.37","-0.35 %","23,274.00","-"
"NTC","2025-08-07","883","888","879","880.49","0.04 %","19,454.00","-"
"NTC","2025-08-06","897.1","897.1","873","880.16","0.07 %","13,624.00","-"
"NTC","2025-08-05","895","904","879","879.54","-1.20 %","31,485.00","-"
"NTC","2025-08-04","907.9","907.9","880","890.26","-0.26 %","27,496.00","-"
"NTC","2025-08-03","910","910","891","892.57","-1.87 %","42,015.00","-"
"NTC","2025-07-31","914","920","900.1","909.61","-0.71 %","28,517.00","-"
"NTC","2025-07-30","932","938","912","916.16","-1.43 %","43,237.00","-"
"NTC","2025-07-29","891.5","932","891.5","929.41","2.17 %","73,341.00","-"
"NTC","2025-07-28","909.1","910","898","909.64","0.05 %","52,222.00","-"
"NTC","2025-07-27","896.6","930","896.6","909.17","-0.62 %","45,350.00","-"
"NTC","2025-07-24","928.9","928.9","907","914.85","-0.64 %","36,145.00","-"
"NTC","2025-07-23","930","934","912","920.78","0.09 %","37,243.00","-"
"NTC","2025-07-22","905","921","897","919.94","3.01 %","59,122.00","-"
"NTC","2025-07-21","899","901","887","893.08","-0.23 %","35,423.00","-"
"NTC","2025-07-20","899","912","885","895.16","0.48 %","60,959.00","-"
"NTC","2025-07-17","881","894.9","881","890.89","1.55 %","47,478.00","-"
"NTC","2025-07-16","874.2","885","868.8","877.27","0.35 %","20,939.00","-"
"NTC","2025-07-15","862","875","862","874.18","1.35 %","21,895.00","-"
"NTC","2025-07-14","860","868.9","858","862.55","0.42 %","22,127.00","-"
"NTC","2025-07-13","860","877","854.1","858.96","0.66 %","27,361.00","-"
"NTC","2025-07-10","851","855","849","853.3","0.80 %","20,896.00","-"
"NTC","2025-07-09","843","850","842","846.55","0.18 %","11,850.00","-"
"NTC","2025-07-08","850","850","844","845.03","-0.44 %","16,713.00","-"
